Region,Region_EN,Total,Purpose_Declared_Total,Work,Study,Private Visit,Business Trip,Tourism/Leisure,Transit,Other Purpose,Purpose_Not_Declared_Total
Республика Ингушетия,Republic of Ingushetia,31.0,28.0,19.0,3.0,1.0,0.0,0.0,0.0,5.0,3.0
Республика Калмыкия,Republic of Kalmykia,7.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Республика Карелия,Republic of Karelia,61.0,61.0,57.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
Республика Коми,Komi Republic,10.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Республика Крым,Republic of Crimea,62.0,62.0,51.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Республика Марий Эл,Republic of Mari El,153.0,151.0,3.0,146.0,1.0,1.0,0.0,0.0,0.0,2.0
Республика Мордовия,Republic of Mordovia,28.0,28.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Республика Северная Осетия - Алания,Republic of North Ossetia–Alania,38.0,38.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Республика Татарстан,Republic of Tatarstan,2786.0,2771.0,1853.0,193.0,672.0,2.0,9.0,0.0,42.0,15.0
Республика Тыва,Tuva Republic,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Республика Хакасия,Khakassia Republic,67.0,67.0,58.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0
Ростовская область,Rostovskaja oblast',418.0,409.0,330.0,17.0,43.0,0.0,1.0,2.0,16.0,9.0
Рязанская область,Rjazanskaja oblast',1046.0,1044.0,974.0,9.0,42.0,0.0,0.0,13.0,6.0,2.0
Самарская область,Samarskaja oblast',837.0,829.0,663.0,42.0,88.0,1.0,2.0,1.0,32.0,8.0
Саратовская область,Saratovskaja oblast',82.0,82.0,46.0,11.0,18.0,1.0,1.0,4.0,1.0,0.0
Сахалинская область,Sahalinskaja oblast',113.0,110.0,102.0,1.0,1.0,0.0,1.0,0.0,5.0,3.0
Свердловская область,Sverdlovskaja oblast',1850.0,1784.0,1559.0,118.0,44.0,3.0,8.0,1.0,51.0,66.0
Северо-Западный федеральный округ,Severo-Zapadnyj federal'nyj okrug,1846.0,1840.0,1500.0,142.0,92.0,12.0,34.0,1.0,59.0,6.0
Северо-Кавказский федеральный округ,Severo-Kavkazskij federal'nyj okrug,329.0,324.0,253.0,18.0,23.0,0.0,0.0,19.0,11.0,5.0
Сибирский федеральный округ,Sibirskij federal'nyj okrug,2121.0,2077.0,1534.0,260.0,183.0,10.0,5.0,5.0,80.0,44.0
Смоленская область,Smolenskaja oblast',77.0,72.0,59.0,9.0,1.0,0.0,0.0,0.0,3.0,5.0
Ставропольский край,Stavropol'skij kraj,17.0,17.0,11.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
Тамбовская область,Tambovskaja oblast',123.0,121.0,74.0,9.0,9.0,0.0,0.0,0.0,29.0,2.0
Тверская область,Tverskaja oblast',283.0,282.0,160.0,81.0,18.0,0.0,4.0,5.0,14.0,1.0
Томская область,Tomskaja oblast',29.0,29.0,7.0,15.0,6.0,0.0,0.0,0.0,1.0,0.0
Тульская область,Tul'skaja oblast',463.0,439.0,382.0,17.0,15.0,1.0,3.0,2.0,19.0,24.0
Тюменская область,Tjumenskaja oblast',827.0,755.0,546.0,83.0,70.0,2.0,5.0,0.0,49.0,72.0
Тюменская область без автономных округов,Tjumenskaja oblast' bez avtonomnyh okrugov,318.0,311.0,215.0,58.0,16.0,1.0,2.0,0.0,19.0,7.0
Удмуртская Республика,Udmurt Republic,68.0,68.0,50.0,11.0,4.0,0.0,0.0,1.0,2.0,0.0
Ульяновская область,Ul'janovskaja oblast',115.0,114.0,17.0,89.0,4.0,0.0,0.0,0.0,4.0,1.0
Уральский федеральный округ,Ural'skij federal'nyj okrug,3477.0,3309.0,2602.0,324.0,149.0,21.0,39.0,29.0,145.0,168.0
Хабаровский край,Habarovskij kraj,217.0,217.0,64.0,144.0,0.0,0.0,0.0,0.0,9.0,0.0
Ханты-Мансийский автономный округ - Югра,Hanty-Mansijskij avtonomnyj okrug - Jugra,464.0,402.0,297.0,21.0,53.0,1.0,2.0,0.0,28.0,62.0
Центральный федеральный округ,Tsentral'nyj federal'nyj okrug,24511.0,23571.0,19786.0,1137.0,1092.0,267.0,406.0,163.0,720.0,940.0
Челябинская область,Cheljabinskaja oblast',740.0,711.0,458.0,110.0,32.0,16.0,26.0,28.0,41.0,29.0
Чеченская Республика,Chechen Republic,216.0,216.0,164.0,7.0,22.0,0.0,0.0,19.0,4.0,0.0
Чувашская Республика,Chuvash Republic,30.0,30.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
Чукотский автономный округ,Chukotskij avtonomnyj okrug,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Южный федеральный округ,Juzhnyj federal'nyj okrug,1635.0,1563.0,1222.0,155.0,134.0,4.0,4.0,4.0,40.0,72.0
Ямало-Ненецкий автономный округ,Jamalo-Nenetskij avtonomnyj okrug,45.0,42.0,34.0,4.0,1.0,0.0,1.0,0.0,2.0,3.0
Ярославская область,Jaroslavskaja oblast',72.0,72.0,59.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0
г. Москва,g. Moskva,6093.0,5943.0,4899.0,258.0,230.0,116.0,276.0,70.0,94.0,150.0
